,"('stars-mean', 'Heavy')","('stars-mean', 'Light')","('stars-max', 'Heavy')","('stars-max', 'Light')","('stars-min', 'Heavy')","('stars-min', 'Light')","('stars-std', 'Heavy')","('stars-std', 'Light')","('stars-count', 'Heavy')","('stars-count', 'Light')",Priority,Clone,Status 062722,Year completed,complete,mabid,Tube,Cell Type,Freezer-Rack-Box,"('stars', 'Heavy')","('stars', 'Light')","('full_mabid', 'Heavy')","('full_mabid', 'Light')","('pks', 'Heavy')","('pks', 'Light')",Biological Replicates not sequenced,Done
132,4.946639578529376,3.776306403960785,4.977653631284916,4.126676602086438,4.925465838509316,2.675684472123793,0.017829391619648485,0.3847216129665703,6.0,12.0,2.0,N106/36,"Passed seq check, transfected, pending validation (no need to pursue as GA132 succeeded)",,False,N106/36,"N106/36.1
N106/36.1
N106/36.1
N106/36.1
N106/36.1
N106/36.1
N106/36.1
N106/36.1
N106/36.1","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","2.0-2-8
2.0-2-8
2.0-2-8
2.0-2-8
2.0-2-8
2.0-2-8
3.0-4.0-2.0
3.0-4.0-2.0
3.0-5.0-3.0","4.977653631284916
4.939861844778545
4.925465838509317
4.951408061844285
4.949044585987261
4.93640350877193","2.675684472123793
3.4672268907563026
3.9828619200222937
3.82903720217361
4.126676602086438
3.706408345752608
3.964071856287425
3.851047904191617
3.973684210526316
3.8909774436090228
4.0
3.848","N106/36.1
N106/36.1.1
N106/36.1.2
N106/36.1.3
N106/36.1.4
N106/36.1.5","N106/36.1
N106/36.1
N106/36.1.1
N106/36.1.1
N106/36.1.2
N106/36.1.2
N106/36.1.3
N106/36.1.3
N106/36.1.4
N106/36.1.4
N106/36.1.5
N106/36.1.5","77
19881
19889
19896
19905
19913","173
174
19988
19989
19999
20000
20010
20011
20022
20023
20032
20033",,False
134,2.185980665429182,1.8801962433923136,3.1589310824033805,1.984197870147716,1.8108108108108107,1.664804469273743,0.6519249586048689,0.14583495425508364,4.0,4.0,35.0,N106/65,"DNA found, passed sequencing check, pending validation",,False,N106/65,"N106/65.1 IM
N106/65.1 IM
N106/65.1 IM
N106/65.1 IM
N106/65.1 IM
N106/65.1 IM
N106/65.1 IM
N106/65.1 IM","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","4.0-1.0-2.0
4.0-1.0-2.0
4.0-1.0-2.0
4.0-1.0-2.0
4.0-1.0-2.0
4.0-1.0-2.0
4.0-1.0-2.0
4.0-1.0-2.0","1.9540333483551149
1.8108108108108107
1.8201474201474201
3.1589310824033805","1.9841978701477156
1.9219330855018588
1.9498495486459377
1.664804469273743","N106/65.1
N106/65.1
N106/65.3
N106/65.1","N106/65.1
N106/65.1
N106/65.3
N106/65.1","19654
19890
21244
25221","19743
20001
21366
25251",N106/65.1 IM,False
135,2.185980665429182,1.8801962433923136,3.1589310824033805,1.984197870147716,1.8108108108108107,1.664804469273743,0.6519249586048689,0.14583495425508364,4.0,4.0,35.0,N106/65,"TC Supes collected 23-Feb-22, pending validation",,False,N106/65,"N106/65.1 IM
N106/65.1 IM
N106/65.1 IM
N106/65.1 IM
N106/65.1 IM
N106/65.1 IM
N106/65.1 IM
N106/65.1 IM","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","4.0-1.0-2.0
4.0-1.0-2.0
4.0-1.0-2.0
4.0-1.0-2.0
4.0-1.0-2.0
4.0-1.0-2.0
4.0-1.0-2.0
4.0-1.0-2.0","1.9540333483551149
1.8108108108108107
1.8201474201474201
3.1589310824033805","1.9841978701477156
1.9219330855018588
1.9498495486459377
1.664804469273743","N106/65.1
N106/65.1
N106/65.3
N106/65.1","N106/65.1
N106/65.1
N106/65.3
N106/65.1","19654
19890
21244
25221","19743
20001
21366
25251",N106/65.1 IM,False
160,3.608518762651379,4.564028573052793,4.152309564221394,4.591405499632132,3.0411984531102827,4.488018858421254,0.5640804843629514,0.050700003131624136,8.0,4.0,36.0,N134/12,,,False,N134/12,"N134/12.2
N134/12.2
N134/12.2
N134/12.2
N134/12.2
N134/12.2
N134/12.2
N134/12.2 ?
N134/12.2
N134/12.2 ?","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","7.0-9.0-5.0
7.0-9.0-5.0
7.0-9.0-5.0
7.0-9.0-5.0
7.0-9.0-5.0
7.0-9.0-5.0
7.0-9.0-5.0
7.0-9.0-5.0
7.0-9.0-5.0
7.0-9.0-5.0","4.143565021505559
3.0787542342067336
4.1430714287475165
3.0851922567999037
4.103547622636485
3.120511519983158
4.152309564221394
3.0411984531102827","4.589325805617197
4.587364128540591
4.591405499632132
4.488018858421254","N134/12.1
N134/12.1
N134/12.3
N134/12.3
N134/12.4
N134/12.4
N134/12.2
N134/12.2","N134/12.1
N134/12.3
N134/12.4
N134/12.2","6777
6778
6787
6788
6798
6799
17295
17296","6870
6881
6893
17407",N134/12.2 ?,False
22,2.9207585341857563,3.732753666067876,3.234790415505678,4.2607879924953105,2.6692288123389294,3.314273243125273,0.24273085621520135,0.2958661692827367,4.0,21.0,43.0,K55/7,"DNA found, passed sequencing check, pending validation (no need to pursue as GA266 succeeded)",,False,K55/7,"K55/7.1
K55/7.1
K55/7.1
K55/7.1
K55/7.1
K55/7.1
K55/7.1","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","0.0-D-4
0.0-D-4
2.0-2-10
2.0-2-10
2.0-3-3
3.0-5.0-1.0
3.0-5.0-1.0","3.234790415505678
2.9698763609050713
2.669228812338929
2.8091385479933453","4.086861632474902
3.314273243125273
3.8560218355510063
3.4899351757079495
4.26078799249531
3.345215759849906
4.056047197640118
3.3893805309734515
4.03515625
3.75390625
3.979077545306059
3.4444271603017813
3.853806422636425
3.5847743094543003
3.8062705631894715
3.586413779756145
3.829797492767599
3.3837994214079075
4.038961038961039
3.951181102362205
3.341732283464567","K55/7.2
K55/7.3
K55/7.2
K55/7.1","K55/7.2
K55/7.2
K55/7.3
K55/7.3
K55/7.4
K55/7.4
K55/7.5
K55/7.5
K55/7.1
K55/7.1
K55/7.2
K55/7.2
K55/7.1
K55/7.1
K55/7.1
K55/7.1
K55/7.3
K55/7.3
K55/7.4
K55/7.2
K55/7.2","5807
5815
17856
19853","5917
5918
5927
5928
5936
5937
5946
5947
17374
17375
17958
17959
19949
19950
19961
19962
21110
21111
21122
21130
21131",,False
466,3.5598942020046733,4.242367927877897,3.7987651614773625,4.25861684340725,3.1110884570393136,4.2251911084923455,0.388946362724456,0.016732175376356226,3.0,3.0,108.0,N77/15,"Passed seq check, transfected, pending validation",,False,N77/15,"N77/15.1
N77/15.1
N77/15.1
N77/15.1","Immortality
Immortality
Immortality
Immortality","2.0-4-8
2.0-4-8
7.0-3.0-1.0
7.0-3.0-1.0","3.1110884570393136
3.769828987497344
3.7987651614773625","4.25861684340725
4.225191108492345
4.243295831734097","N77/15.1
N77/15.2
N77/15.3","N77/15.1
N77/15.2
N77/15.3","17293
19204
19213","17405
19303
19312",,False
288,3.4647215616572207,3.420926943094332,3.6224893825905333,3.760789892903117,3.1530183651532004,2.759479891201434,0.2699496877984529,0.5729028546899461,3.0,3.0,201.0,N297/59,"DNA found, passed sequencing check, pending validation",,False,N297/59,N297/59.1,Immortality,3.0-4.0-3.0,"3.1530183651532004
3.6186569372279282
3.622489382590533","2.759479891201434
3.760789892903117
3.7425110451784436","N297/59.1
N297/59.2
N297/59.3","N297/59.1
N297/59.2
N297/59.3","428
18842
18850","521
18932
18939",,False
99,3.1135785559318125,2.6222321926502485,3.160558421703625,3.044761067074226,3.0665986901599998,2.199703318226271,0.06643956333296458,0.5975460647046273,2.0,2.0,231.0,L36/12,,,False,L36/12,"L36/12.9
L36/12.9
L36/12.9
L36/12.9
L36/12.9
L36/12.9
L36/12.9
L36/12.9
L36/12.9","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","3.0-4.0-1.0
3.0-4.0-1.0
3.0-4.0-7.0
3.0-4.0-7.0
3.0-5.0-10.0
3.0-5.0-10.0
3.0-5.0-10.0
3.0-5.0-10.0
3.0-5.0-10.0","3.160558421703625
3.06659869016","2.199703318226271
3.044761067074226","L36/12.9
L36/12.9","L36/12.9
L36/12.9","80
19845","177
19940",,False
315,2.617412844783816,3.3985081827583397,2.649692532974882,3.4029288415922463,2.5851331565927502,3.3940875239244344,0.045650372828979977,0.0062517556775339355,2.0,2.0,234.0,N336B/83,,,False,N336B/83,"N336B/83.1
N336B/83.1
N336B/83.1
N336B/83.1
N336B/83.1 IM
N336B/83.1 IM
N336B/83.1 IM
N336B/83.1 IM
N336B/83.1 IM
N336B/83.1 IM","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","1.0-8-3
2.0-2-8
3.0-5.0-11.0
3.0-5.0-11.0
5.0-14.0-2.0
5.0-14.0-2.0
5.0-14.0-2.0
5.0-14.0-2.0
5.0-14.0-2.0
5.0-14.0-2.0","2.5851331565927502
2.649692532974882","3.402928841592246
3.3940875239244344","N336B/83.1
N336B/83.3","N336B/83.1
N336B/83.3","447
20838","540
20932",N336B/83.1 IM,False
44,3.5198190563924663,2.978491884969946,4.310080185937799,3.9363703585329417,2.4151637085117463,1.4997755192891975,0.9421621583156742,1.1584792427822177,4.0,4.0,276.0,K88/64,"TC Supes collected 16-May-22, pending validation (negative via IB 5/17/22)",,False,K88/64,"K88/64.1
K88/64.1","Immortality
Immortality","3.0-4.0-2.0
3.0-4.0-2.0","4.297020457865081
4.310080185937798
3.05701187325524
2.415163708511746","3.8659886382790445
3.9363703585329417
1.4997755192891975
2.611833023778602","K88/64.1
K88/64.2
K88/64.3
K88/64.3","K88/64.1
K88/64.2
K88/64.3
K88/64.3","28
18411
18419
18420","119
18514
18522
18523",,False
370,3.3154623081131183,3.743574572711268,4.309642374101455,3.866195420743891,1.887639580901673,3.6481945913965257,1.3023432196373583,0.11152416336243404,5.0,3.0,294.0,N405/74,,,False,N405/74,"N405/74.1
N405/74.1
N405/74.1
N405/74.1","Immortality
Immortality
Immortality
Immortality","3.0-4.0-7.0
3.0-4.0-7.0
6.0-5.0-5.0
6.0-5.0-5.0","4.309642374101455
4.249471163858834
1.887639580901673
4.239962997253404
1.8905954244502217","3.6481945913965257
3.866195420743891
3.716333705993386","N405/74.1
N405/74.2
N405/74.2
N405/74.3
N405/74.3","N405/74.1
N405/74.2
N405/74.3","274
18795
18796
18804
18805","374
18890
18898",,False
311,3.3646236039101667,3.8779651260601504,3.529568611137314,3.9167723015641567,3.0896512267088383,3.8059955206554466,0.23971095696311895,0.062391376526031474,3.0,3.0,315.0,N330A/51,,,False,N330A/51,"N330A/51.1
N330A/51.1
N330A/51.1
N330A/51.1
N330A/51.1
N330A/51.1
N330A/51.1
N330A/51.1
N330A/51.1","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","3.0-4.0-7.0
3.0-4.0-7.0
6.0-4.0-1.0
6.0-4.0-3.0
6.0-12.0-2.0
6.0-12.0-2.0
6.0-12.0-2.0
6.0-12.0-2.0
6.0-12.0-2.0","3.529568611137314
3.4746509738843474
3.0896512267088383","3.9167723015641567
3.9111275559608467
3.805995520655447","N330A/51.1
N330A/51.1
N330A/51.1","N330A/51.1
N330A/51.1
N330A/51.1","201
19700
20271","299
19791
20371",,False
312,3.8019146119130265,3.1666313350621214,3.8270005658553634,3.1859596354879827,3.779480263015912,3.144191342805056,0.023870861996902942,0.021057291800014324,3.0,3.0,316.0,N330A/80,,,False,N330A/80,"N330A/80.1
N330A/80.1
N330A/80.1
N330A/80.1
N330A/80.1
N330A/80.1
N330A/80.1
N330A/80.1","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","3.0-4.0-7.0
3.0-4.0-7.0
6.0-4.0-3.0
6.0-4.0-3.0
6.0-12.0-2.0
6.0-12.0-2.0
6.0-12.0-2.0
6.0-12.0-2.0","3.8270005658553634
3.799263006867804
3.7794802630159117","3.1697430268933253
3.1441913428050556
3.1859596354879827","N330A/80.1
N330A/80.1
N330A/80.1","N330A/80.1
N330A/80.1
N330A/80.1","208
19707
20280","308
19798
20379",,False
394,4.003263941296107,3.2457904833171893,4.313198664588378,4.0610549239026055,3.1306905296875422,1.5731995052250694,0.5819151964179262,1.0872811599215155,4.0,5.0,321.0,N432/21,,,False,N432/21,"N432/21.1
N432/21.1
N432/21.1
N432/21.1
N432/21.1
N432/21.1
N432/21.1
N432/21.1
N432/21.1
N432/21.1","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","3.0-4.0-8.0
3.0-4.0-8.0
3.0-4.0-8.0
4.0-9.0-4.0
4.0-9.0-4.0
4.0-9.0-4.0
4.0-9.0-4.0
4.0-9.0-4.0
4.0-9.0-4.0
4.0-9.0-4.0","4.313198664588378
4.293268022719554
3.1306905296875422
4.275898548188954","4.0610549239026055
3.9910838401069193
2.708188218543354
1.5731995052250694
3.8954259288079967","N432/21.1
N432/21.3
N432/21.5
N432/21.2","N432/21.1
N432/21.3
N432/21.5
N432/21.5
N432/21.2","408
19236
19243
20444","495
19339
19347
19348
20532",,False
263,3.484088141925429,3.2784048649392394,3.967809917973858,3.964762339212695,2.2070274042488247,2.1787160545216864,0.8525588727483093,0.9171436846408908,4.0,5.0,326.0,N262/16,,,False,N262/16,"N262/16.1
N262/16.1
N262/16.1","Immortality
Immortality
Immortality","3.0-4.0-3.0
3.0-4.0-3.0
3.0-5.0-5.0","3.9678099179738586
3.858333794471287
3.9031814510077485
2.2070274042488247","3.9647623392126947
3.9350792476652154
3.938839129495972
2.1787160545216864
2.3746275538006296","N262/16.1
N262/16.1
N262/16.1
N262/16.5","N262/16.1
N262/16.1
N262/16.1
N262/16.5
N262/16.4","429
19723
20074
23792","522
19815
20169
23882
23891",,False
296,4.278966872417933,3.8997492891213437,4.3097808110185865,3.9447548298752286,4.25995179486356,3.8642784763759375,0.02692847107127541,0.04107668617089821,3.0,3.0,327.0,N310/21,,,False,N310/21,"N310/21.2
N310/21.2
N310/21.2
N310/21.2","Immortality
Immortality
Immortality
Immortality","3.0-5.0-11.0
3.0-5.0-11.0
3.0-6.0-10.0
3.0-6.0-10.0","4.309780811018586
4.25995179486356
4.267168011371654","3.9447548298752286
3.890214561112863
3.8642784763759384","N310/21.2
N310/21.3
N310/21.4","N310/21.2
N310/21.3
N310/21.4","390
18833
18843","476
18925
18933",,False
353,4.285675485087703,3.953718328860378,4.31190497032639,3.98894225862548,4.266832649687186,3.91314138328455,0.023426490749248463,0.03818290532836957,3.0,3.0,331.0,N389/9,"TC Supes collected 16-May-22, pending validation (COS-IF inconslusive 6/1/22)",,False,N389/9,"N389/9.2
N389/9.2
N389/9.2
N389/9.2
N389/9.2
N389/9.2
N389/9.2
N389/9.2
N389/9.2
N389/9.2
N389/9.2
N389/9.2
N389/9.2","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","3.0-3.0-11.0
3.0-4.0-7.0
3.0-4.0-7.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-1.0
6.0-12.0-12.0
6.0-12.0-12.0","4.31190497032639
4.266832649687186
4.278288835249533","3.91314138328455
3.959071344671103
3.9889422586254804","N389/9.2
N389/9.3
N389/9.4","N389/9.2
N389/9.3
N389/9.4","419
18794
18803","508
18889
18897",,False
317,4.305445095334878,3.908456947852462,4.314892615600511,4.186318308608715,4.2883299581613485,3.35595290898102,0.014848836800985553,0.4784852397999627,3.0,3.0,342.0,N341/12,,,False,N341/12,"N341/12.5
N341/12.5
N341/12.5
N341/12.5
N341/12.5
N341/12.5
N341/12.5
N341/12.5
N341/12.5
N341/12.5
N341/12.5
N341/12.5
N341/12.5","Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality
Immortality","0.0-9-8
0.0-9-8
2.0-2-3
2.0-2-3
2.0-2-3
2.0-2-3
2.0-2-3
2.0-2-3
2.0-2-3
2.0-2-3
2.0-2-3
2.0-2-3
2.0-2-3","4.288329958161348
4.313112712242777
4.314892615600511","3.3559529089810196
4.18309962596765
4.186318308608715","N341/12.5
N341/12.3
N341/12.4","N341/12.5
N341/12.3
N341/12.4","230
18845
18854","329
18935
18942",,False
412,3.1516298502750533,2.949321086732793,3.1516298502750533,2.949321086732793,3.1516298502750533,2.949321086732793,,,1.0,1.0,347.0,N455/15,,,False,N455/15,"N455/15.1
N455/15.1
N455/15.1","Immortality
Immortality
Immortality","3.0-4.0-7.0
3.0-4.0-7.0
6.0-3.0-10.0",3.1516298502750533,2.949321086732793,N455/15.1,N455/15.1,228,327,,False
